year,district_city,area_type,total_complaints_2020,total_complaints_2021,total_complaints,share_in_percentage_2022,projected_population_lakhs,rate_of_cognizable_crime_ipc_sll,total_oral_complaints,oral_narrated_to_oc_sho,oral_distress_call_over_phone_dial_100,total_written_complaints_to_police,written_to_oc_sho,written_to_sp_senior_officers,written_electronic_form,written_complaint_to_courts,written_nhrc_and_shrc,written_scs_commissions,written_sts_commissions,written_ncw_scw,written_child_welfare_boards_commissions,suo_moto_police_complaints,other_written_complaints
2023,Tenkasi,district,,,46017,,,,6718.0,0.0,6718.0,39299.0,4815.0,3356.0,3969.0,39.0,0.0,0.0,0.0,0.0,0.0,2608.0,24512.0
2023,Thanjavur,district,,,76520,,,,19159.0,0.0,19159.0,57361.0,12574.0,3842.0,5255.0,50.0,59.0,54.0,9.0,78.0,0.0,12392.0,23048.0
2023,Theni,district,,,52052,,,,10254.0,0.0,10254.0,41798.0,4739.0,5640.0,3362.0,32.0,36.0,1.0,0.0,53.0,0.0,6357.0,21578.0
2023,Thirunelveli,district,,,54900,,,,8429.0,0.0,8429.0,46471.0,6644.0,2094.0,3679.0,50.0,0.0,0.0,0.0,0.0,12.0,3646.0,30346.0
2023,Thiruvallur,district,,,57507,,,,7324.0,0.0,7324.0,50183.0,4598.0,3267.0,10981.0,1.0,21.0,22.0,0.0,39.0,2.0,7390.0,23862.0
2023,Thiruvannamalai,district,,,69305,,,,14274.0,0.0,14274.0,55031.0,7149.0,4531.0,6228.0,5.0,0.0,0.0,0.0,0.0,0.0,8244.0,28874.0
2023,Thiruvarur,district,,,43733,,,,6874.0,0.0,6874.0,36859.0,6586.0,2252.0,5041.0,0.0,43.0,16.0,0.0,45.0,0.0,6950.0,15926.0
2023,Thoothukudi,district,,,79235,,,,18403.0,0.0,18403.0,60832.0,6595.0,3689.0,4994.0,77.0,7.0,8.0,0.0,0.0,0.0,5025.0,40437.0
2023,Tiruppattur,district,,,35332,,,,9038.0,0.0,9038.0,26294.0,1564.0,4493.0,1930.0,8.0,0.0,0.0,0.0,1.0,0.0,6189.0,12109.0
2023,Tiruppur,district,,,30386,,,,265.0,0.0,265.0,30121.0,4713.0,2432.0,2754.0,12.0,0.0,0.0,0.0,0.0,17.0,5567.0,14626.0
2023,Trichy,district,,,40788,,,,19331.0,0.0,19331.0,21457.0,4982.0,3149.0,3270.0,37.0,0.0,0.0,0.0,0.0,0.0,5326.0,4693.0
2023,Vellore,district,,,56009,,,,12108.0,0.0,12108.0,43901.0,9305.0,3105.0,4673.0,0.0,26.0,22.0,1.0,53.0,3.0,5538.0,21175.0
2023,Villupuram,district,,,78467,,,,12834.0,0.0,12834.0,65633.0,7384.0,4512.0,905.0,1.0,0.0,0.0,0.0,0.0,0.0,15398.0,37433.0
2023,Virudhunagar,district,,,64208,,,,17331.0,0.0,17331.0,46877.0,10320.0,3704.0,1100.0,115.0,57.0,46.0,0.0,42.0,0.0,6189.0,25304.0
2023,Cyber Cell,special_unit,,,1,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Other Units,special_unit,,,381,,,,0.0,0.0,0.0,381.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0
2023,Railway Chennai,special_unit,,,8796,,,,0.0,0.0,0.0,8796.0,1288.0,0.0,4432.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,3005.0
2023,Railway Trichy,special_unit,,,1533,,,,0.0,0.0,0.0,1533.0,480.0,0.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,111.0
