year,district_city,area_type,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_incidents_i,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_victims_v,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_r_crime_rate,women_crimes_assault_on_women_i,women_crimes_assault_on_women_v,women_crimes_assault_on_women_r,women_crimes_sexual_harassment_total_i,women_crimes_sexual_harassment_total_v,women_crimes_sexual_harassment_total_r,women_crimes_sh_at_work_premises_i,women_crimes_sh_at_work_premises_v,women_crimes_sh_at_work_premises_r,women_crimes_sh_in_public_transport_i,women_crimes_sh_in_public_transport_v,women_crimes_sh_in_public_transport_r,women_crimes_sh_in_shelter_homes_for_women_and_children_i,women_crimes_sh_in_shelter_homes_for_women_and_children_v,women_crimes_sh_in_shelter_homes_for_women_and_children_r,women_crimes_sh_in_other_places_i,women_crimes_sh_in_other_places_v,women_crimes_sh_in_other_places_r,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_i,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_v,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_r,women_crimes_voyeurism_i,women_crimes_voyeurism_v,women_crimes_voyeurism_r,women_crimes_stalking_i,women_crimes_stalking_v,women_crimes_stalking_r,women_crimes_rape_sec_376_i,women_crimes_rape_v,women_crimes_rape_r,women_crimes_attempt_to_commit_rape_sec_376_511_i,women_crimes_attempt_to_commit_rape_v,women_crimes_attempt_to_commit_rape_r,murder_homicide_murder_incidence,murder_homicide_murder_victims,murder_homicide_murder_rate,murder_homicide_culpable_homicide_incidence,murder_homicide_culpable_homicide_victims,murder_homicide_culpable_homicides_rate,murder_homicide_causing_death_by_negligence_incidence,murder_homicide_causing_death_by_negligence_victims,murder_homicide_causing_death_by_negligence_rate,murder_homicide_murder_incidents,complaints_total_complaints_2020,complaints_total_complaints_2021,complaints_total_complaints,complaints_share_in_percentage_2022,complaints_projected_population_lakhs,complaints_rate_of_cognizable_crime_ipc_sll,complaints_total_oral_complaints,complaints_oral_narrated_to_oc_sho,complaints_oral_distress_call_over_phone_dial_100,complaints_total_written_complaints_to_police,complaints_written_to_oc_sho,complaints_written_to_sp_senior_officers,complaints_written_electronic_form,complaints_written_complaint_to_courts,complaints_written_nhrc_and_shrc,complaints_written_scs_commissions,complaints_written_sts_commissions,complaints_written_ncw_scw,complaints_written_child_welfare_boards_commissions,complaints_suo_moto_police_complaints,complaints_other_written_complaints,complaints_total_complaints_written,complaints_total_complaints_oral,complaints_total_complaints_others,complaints_oral_share,complaints_written_share,murder_victim_to_incident_ratio,rape_victim_to_incident_ratio,year_centered,is_latest_year,population_lakhs,log_population,selected_crime_rate_sum,sentiment_avg_sentiment_polarity,sentiment_avg_sentiment_confidence,sentiment_avg_crime_intensity,sentiment_negative_sentiment_share,news_count,news_avg_news_polarity,news_negative_news_share,news_avg_news_crime_intensity
2022,Krishnagiri,district,19.0,19.0,1.9,15.0,15.0,1.5,3.0,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.3,0.0,0.0,0.0,1.0,1.0,0.1,0.0,0.0,0.0,3.0,3.0,0.3,0.0,0.0,0.0,53.0,54.0,2.7,4.0,4.0,0.2,627.0,658.0,31.4,,25774,11727,9979,2.1,20.0,499.3,,,,,,,,,,,,,,,,,,,,,1.0188679245283019,1.0,-0.5,0,20.0,3.044522437723423,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Madurai,district,50.0,50.0,4.6,40.0,40.0,3.7,6.0,6.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.6,1.0,1.0,0.1,0.0,0.0,0.0,3.0,3.0,0.3,20.0,20.0,1.9,2.0,2.0,0.2,65.0,68.0,3.0,1.0,1.0,0.0,588.0,689.0,27.4,,61106,13381,10598,2.2,21.5,493.4,,,,,,,,,,,,,,,,,,,,,1.0461538461538462,1.0,-0.5,0,21.5,3.1135153092103742,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Nagapattinam,district,58.0,58.0,6.7,37.0,37.0,4.3,18.0,18.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,2.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,8.0,8.0,0.9,1.0,1.0,0.1,41.0,43.0,2.4,1.0,1.0,0.1,273.0,306.0,15.9,,31557,28018,13585,2.9,17.2,790.5,,,,,,,,,,,,,,,,,,,,,1.048780487804878,1.0,-0.5,0,17.2,2.9014215940827497,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Namakkal,district,37.0,37.0,4.0,37.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.7,0.0,0.0,0.0,29.0,29.0,1.6,1.0,1.0,0.1,520.0,531.0,28.3,,24183,18287,7877,1.7,18.4,429.1,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,18.4,2.9652730660692823,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Nilgiris,district,10.0,10.0,2.6,10.0,10.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,7.0,8.0,0.9,0.0,0.0,0.0,40.0,42.0,5.1,,11940,3336,2862,0.6,7.8,366.0,,,,,,,,,,,,,,,,,,,,,1.1428571428571428,1.0,-0.5,0,7.8,2.174751721484161,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Perambalur,district,16.0,18.0,5.3,10.0,12.0,3.3,3.0,3.0,1.0,2.0,2.0,0.7,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,1.0,1.0,0.3,1.0,1.0,0.3,6.0,6.0,2.0,1.0,1.0,0.3,14.0,14.0,2.3,0.0,0.0,0.0,214.0,228.0,35.6,,11674,6391,3495,0.7,6.0,581.6,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,6.0,1.9459101490553132,12.899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Pudukottai,district,54.0,54.0,6.3,54.0,54.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.7,0.0,0.0,0.0,34.0,36.0,2.0,1.0,3.0,0.1,474.0,485.0,27.5,,21402,17327,10713,2.3,17.2,622.6,,,,,,,,,,,,,,,,,,,,,1.0588235294117647,1.0,-0.5,0,17.2,2.9014215940827497,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Ramnathapuram,district,15.0,15.0,2.1,15.0,15.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2.1,2.0,2.0,0.3,38.0,38.0,2.6,6.0,6.0,0.4,345.0,345.0,24.0,,15878,15205,10391,2.2,14.4,722.1,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,14.4,2.7343675094195836,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Ranipet,district,13.0,13.0,2.0,4.0,4.0,0.6,2.0,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.3,3.0,3.0,0.5,0.0,0.0,0.0,4.0,4.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,25.0,27.0,2.0,0.0,0.0,0.0,259.0,269.0,20.3,,10340,7763,5956,1.3,12.8,467.0,,,,,,,,,,,,,,,,,,,,,1.08,,-0.5,0,12.8,2.624668592163159,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Salem,district,70.0,70.0,5.0,70.0,70.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.4,0.0,0.0,0.0,39.0,39.0,1.4,1.0,1.0,0.0,570.0,570.0,20.2,,22472,15880,13620,2.9,28.2,482.9,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,28.2,3.374168709274236,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
