year,district_city,area_type,assault_on_women_with_intent_to_outrage_her_modesty_incidents_i,assault_on_women_with_intent_to_outrage_her_modesty_victims_v,assault_on_women_with_intent_to_outrage_her_modesty_r_crime_rate,assault_on_women_i,assault_on_women_v,assault_on_women_r,sexual_harassment_total_i,sexual_harassment_total_v,sexual_harassment_total_r,sh_at_work_premises_i,sh_at_work_premises_v,sh_at_work_premises_r,sh_in_public_transport_i,sh_in_public_transport_v,sh_in_public_transport_r,sh_in_shelter_homes_for_women_and_children_i,sh_in_shelter_homes_for_women_and_children_v,sh_in_shelter_homes_for_women_and_children_r,sh_in_other_places_i,sh_in_other_places_v,sh_in_other_places_r,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_i,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_v,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_r,voyeurism_i,voyeurism_v,voyeurism_r,stalking_i,stalking_v,stalking_r,rape_sec_376_i,rape_v,rape_r,attempt_to_commit_rape_sec_376_511_i,attempt_to_commit_rape_v,attempt_to_commit_rape_r
2022,Thiruvannamalai,district,22,22,1.7,13,13,1.0,5,5,0.4,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.4,1,1,0.1,0,0,0.0,3,3,0.2,8,8,0.6,1,1,0.1
2022,Thiruvarur,district,13,13,1.9,13,13,1.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,1.3,0,0,0.0
2022,Thoothukudi,district,42,42,4.5,22,22,2.4,15,15,1.6,0,0,0.0,0,0,0.0,0,0,0.0,15,15,1.6,1,1,0.1,2,2,0.2,2,2,0.2,14,14,1.5,1,1,0.1
2022,Tiruppattur,district,15,16,2.4,14,15,2.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,4,4,0.6,0,0,0.0
2022,Tiruppur,district,18,18,1.7,18,18,1.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,8,0.7,0,0,0.0
2022,Trichy,district,42,42,4.2,34,34,3.4,7,7,0.7,0,0,0.0,0,0,0.0,0,0,0.0,7,7,0.7,0,0,0.0,0,0,0.0,1,1,0.1,16,16,1.6,2,2,0.2
2022,Vellore,district,13,13,1.6,7,7,0.8,1,1,0.1,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.1,1,1,0.1,0,0,0.0,4,4,0.5,2,2,0.2,0,0,0.0
2022,Villupuram,district,14,14,1.3,14,14,1.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,22,22,2.0,0,0,0.0
2022,Virudhunagar,district,33,33,3.2,18,18,1.7,8,8,0.8,0,0,0.0,0,0,0.0,0,0,0.0,8,8,0.8,1,1,0.1,2,2,0.2,4,4,0.4,17,17,1.6,0,0,0.0
2022,Cyber Cell,special_unit,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
2022,Other Units,special_unit,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
2022,Railway Chennai,special_unit,4,4,,4,4,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
2022,Railway Trichy,special_unit,1,1,,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
2023,Avadi,city,15,15,7.1,10,10,4.7,1,1,0.5,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,3,3,1.4,1,1,0.5,9,9,4.3,0,0,0.0
2023,Chennai,city,166,167,5.5,94,94,3.1,23,23,0.8,1,1,0.0,0,0,0.0,0,0,0.0,22,22,0.7,7,7,0.2,5,6,0.2,37,37,1.2,20,20,0.7,2,2,0.1
2023,Coimbatore City,city,23,23,4.1,22,22,3.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,6,6,1.1,0,0,0.0
2023,Madurai City,city,44,44,8.1,3,3,0.6,41,41,7.5,0,0,0.0,0,0,0.0,0,0,0.0,41,41,7.5,0,0,0.0,0,0,0.0,0,0,0.0,14,14,2.6,0,0,0.0
2023,Salem City,city,18,18,4.1,9,9,2.0,6,6,1.4,2,2,0.5,4,4,0.9,0,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,2,2,0.5,7,7,1.6,0,0,0.0
2023,Tambaram,city,27,27,6.7,17,17,4.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,10,10,2.5,11,11,2.7,0,0,0.0
2023,Thirunelveli City,city,19,19,7.5,7,7,2.8,7,7,2.8,0,0,0.0,2,2,0.8,0,0,0.0,5,5,2.0,1,1,0.4,1,1,0.4,3,3,1.2,3,3,1.2,0,0,0.0
2023,Tiruppur City,city,7,7,3.0,5,5,2.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.8,2,2,0.8,0,0,0.0
