year,district_city,area_type,murder_incidence,murder_victims,murder_rate,culpable_homicide_incidence,culpable_homicide_victims,culpable_homicides_rate,causing_death_by_negligence_incidence,causing_death_by_negligence_victims,causing_death_by_negligence_rate,murder_incidents
2024,Thirunelveli,district,26.0,26,3.7,1.0,1.0,0.2,166.0,175.0,24.0,
2024,Thiruvallur,district,16.0,16,1.2,4.0,4.0,0.3,163.0,172.0,11.8,
2024,Thiruvannamalai,district,19.0,19,1.3,4.0,4.0,0.3,356.0,408.0,24.7,
2024,Thiruvarur,district,10.0,10,1.3,2.0,2.0,0.3,121.0,124.0,16.3,
2024,Thoothukudi,district,41.0,41,4.0,4.0,6.0,0.4,258.0,273.0,25.1,
2024,Tiruchirappalli,district,,5,0.6,,,,,,,5.0
2024,Tirunelveli,district,,4,0.5,,,,,,,4.0
2024,Tiruppattur,district,10.0,10,1.5,2.0,12.0,0.3,110.0,131.0,15.9,
2024,Tiruppur,district,17.0,17,1.4,1.0,1.0,0.0,394.0,395.0,33.0,
2024,Trichy,district,25.0,25,2.3,1.0,1.0,0.1,290.0,305.0,26.4,
2024,Vellore,district,13.0,13,1.4,7.0,7.0,0.8,172.0,172.0,18.8,
2024,Villupuram,district,19.0,21,1.6,4.0,4.0,0.3,285.0,301.0,23.6,
2024,Virudhunagar,district,34.0,38,2.9,0.0,0.0,0.0,257.0,299.0,22.5,
2024,Cyber Cell,special_unit,0.0,0,,0.0,0.0,,0.0,0.0,,
2024,Other Units,special_unit,0.0,0,,0.0,0.0,,0.0,0.0,,
2024,Railway Chennai,special_unit,15.0,15,,0.0,0.0,,2.0,2.0,,
2024,Railway Trichy,special_unit,1.0,1,,1.0,1.0,,0.0,0.0,,
2025,Avadi,city,31.0,36,13.6,1.0,1.0,0.2,254.0,261.0,109.8,
2025,Chennai,city,194.0,196,1.7,20.0,20.0,0.2,1108.0,1121.0,9.9,
2025,Coimbatore City,city,41.0,43,2.0,2.0,2.0,0.1,585.0,598.0,28.2,
2025,Madurai City,city,50.0,52,3.4,0.0,0.0,0.0,360.0,382.0,24.4,
2025,Salem City,city,14.0,14,2.9,0.0,0.0,0.0,119.0,120.0,24.5,
2025,Tambaram,city,28.0,28,6.3,2.0,2.0,0.4,282.0,282.0,64.2,
2025,Thirunelveli City,city,9.0,9,3.4,0.0,0.0,0.0,53.0,53.0,19.2,
2025,Tiruppur City,city,13.0,13,5.1,0.0,0.0,0.0,85.0,87.0,32.7,
2025,Trichy City,city,10.0,10,2.1,0.0,0.0,0.0,88.0,93.0,17.7,
2025,Ariyalur,district,9.0,9,2.0,1.0,1.0,0.1,101.0,105.0,22.9,
2025,Chengalpattu,district,17.0,18,1.3,4.0,5.0,0.3,216.0,233.0,16.1,
2025,Coimbatore,district,96.0,96,2.0,13.0,13.0,0.3,1449.0,1500.0,30.5,
2025,Cuddalore,district,29.0,29,1.9,1.0,1.0,0.1,298.0,319.0,19.5,
2025,Dharmapuri,district,13.0,13,1.4,2.0,2.0,0.2,194.0,194.0,21.9,
