year,district_city,area_type,complaints_total_oral_complaints,complaints_oral_narrated_to_oc_sho,complaints_oral_distress_call_over_phone_dial_100,complaints_total_written_complaints_to_police,complaints_written_to_oc_sho,complaints_written_to_sp_senior_officers,complaints_written_electronic_form,complaints_written_complaint_to_courts,complaints_written_nhrc_and_shrc,complaints_written_scs_commissions,complaints_written_sts_commissions,complaints_written_ncw_scw,complaints_written_child_welfare_boards_commissions,complaints_suo_moto_police_complaints,complaints_other_written_complaints,complaints_total_complaints,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_incidents_i,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_victims_v,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_r_crime_rate,women_crimes_assault_on_women_i,women_crimes_assault_on_women_v,women_crimes_assault_on_women_r,women_crimes_sexual_harassment_total_i,women_crimes_sexual_harassment_total_v,women_crimes_sexual_harassment_total_r,women_crimes_sh_at_work_premises_i,women_crimes_sh_at_work_premises_v,women_crimes_sh_at_work_premises_r,women_crimes_sh_in_public_transport_i,women_crimes_sh_in_public_transport_v,women_crimes_sh_in_public_transport_r,women_crimes_sh_in_shelter_homes_for_women_and_children_i,women_crimes_sh_in_shelter_homes_for_women_and_children_v,women_crimes_sh_in_shelter_homes_for_women_and_children_r,women_crimes_sh_in_other_places_i,women_crimes_sh_in_other_places_v,women_crimes_sh_in_other_places_r,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_i,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_v,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_r,women_crimes_voyeurism_i,women_crimes_voyeurism_v,women_crimes_voyeurism_r,women_crimes_stalking_i,women_crimes_stalking_v,women_crimes_stalking_r,women_crimes_rape_sec_376_i,women_crimes_rape_v,women_crimes_rape_r,women_crimes_attempt_to_commit_rape_sec_376_511_i,women_crimes_attempt_to_commit_rape_v,women_crimes_attempt_to_commit_rape_r,murder_homicide_murder_incidence,murder_homicide_murder_victims,murder_homicide_murder_rate,murder_homicide_culpable_homicide_incidence,murder_homicide_culpable_homicide_victims,murder_homicide_culpable_homicides_rate,murder_homicide_causing_death_by_negligence_incidence,murder_homicide_causing_death_by_negligence_victims,murder_homicide_causing_death_by_negligence_rate,complaints_oral_share,complaints_written_share,murder_victim_to_incident_ratio,rape_victim_to_incident_ratio
2023,Namakkal,district,11066,0,11066,24369,3386,3375,3993,3,92,0,0,0,0,4962,8558,35435,33,33,3.6,33,33,3.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.3,0,0,0.0,35,36,1.9,0,0,0.0,556,641,30.2,0.3122901086496402,0.6877098913503598,1.0285714285714285,1.0
2023,Nilgiris,district,4587,0,4587,12561,954,1197,1012,0,0,0,0,0,0,3499,5899,17148,9,9,2.3,9,9,2.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,10,11,1.3,1,1,0.1,61,61,7.8,0.2674947515745276,0.7325052484254724,1.1,
2023,Perambalur,district,1040,0,1040,11176,1812,156,1141,7,20,0,0,0,30,2337,5673,12216,72,72,23.8,65,65,21.5,5,5,1.7,0,0,0.0,0,0,0.0,0,0,0.0,5,5,1.7,1,1,0.3,1,1,0.3,0,0,0.0,7,7,2.3,2,2,0.7,12,13,2.0,0,0,0.0,171,207,28.4,0.08513425016371971,0.9148657498362803,1.0833333333333333,1.0
2023,Pudukottai,district,9483,0,9483,34428,5989,115,2991,15,19,0,0,0,0,4348,20951,43911,36,55,4.2,36,55,4.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,8,0.9,0,0,0.0,29,29,1.7,3,3,0.2,423,423,24.5,0.21595955455352872,0.7840404454464712,1.0,1.0
2023,Ramnathapuram,district,14666,0,14666,39630,5851,8916,475,17,41,25,0,40,0,5199,19066,54296,18,18,2.5,18,18,2.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,1.2,4,4,0.6,36,36,2.5,4,4,0.3,402,423,27.9,0.27011197878296744,0.7298880212170326,1.0,1.0
2023,Ranipet,district,1593,0,1593,24869,4462,1814,3125,0,0,0,0,0,0,3153,12315,26462,14,14,2.2,5,5,0.8,3,3,0.5,0,0,0.0,0,0,0.0,1,1,0.2,2,2,0.3,4,4,0.6,1,1,0.2,1,1,0.2,2,2,0.3,0,0,0.0,22,26,1.7,1,1,0.1,263,281,20.6,0.06019953140352203,0.9398004685964779,1.1818181818181819,1.0
2023,Salem,district,12813,0,12813,36278,6782,1780,3980,12,0,0,0,0,0,9481,14243,49091,40,40,2.8,40,40,2.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,0.6,0,0,0.0,46,46,1.6,5,5,0.2,538,573,19.0,0.26100507221282926,0.7389949277871708,1.0,1.0
2023,Sivagangai,district,6150,0,6150,30221,7815,3870,568,45,39,27,0,40,0,3570,14247,36371,34,34,4.8,24,24,3.4,4,4,0.6,0,0,0.0,0,0,0.0,4,4,0.6,0,0,0.0,1,1,0.1,3,3,0.4,2,2,0.3,9,9,1.3,1,1,0.1,42,46,2.9,1,1,0.1,381,440,26.7,0.16909075912127794,0.8309092408787221,1.0952380952380953,1.0
2023,Tenkasi,district,6718,0,6718,39299,4815,3356,3969,39,0,0,0,0,0,2608,24512,46017,70,70,9.2,38,38,5.0,16,16,2.1,0,0,0.0,0,0,0.0,0,0,0.0,16,16,2.1,4,4,0.5,3,3,0.4,9,9,1.2,8,8,1.0,0,0,0.0,39,43,2.6,3,3,0.2,238,258,15.6,0.14598952561010062,0.8540104743898994,1.1025641025641026,1.0
2023,Thanjavur,district,19159,0,19159,57361,12574,3842,5255,50,59,54,9,78,0,12392,23048,76520,104,104,8.1,104,104,8.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,10,10,0.8,3,3,0.2,51,51,2.0,4,4,0.2,587,607,22.9,0.25037898588604285,0.7496210141139571,1.0,1.0
